"FullDate","DayOfYr","Month","Day","Quarter","Years"
"2014-01-07 12:00:00","2014-01-07","1","7","1","2014"
"2014-01-07 13:00:00","2014-01-07","1","7","1","2014"
"2014-01-08 05:00:00","2014-01-08","1","8","1","2014"
"2014-01-08 06:00:00","2014-01-08","1","8","1","2014"
"2014-01-08 07:00:00","2014-01-08","1","8","1","2014"
"2014-01-08 08:00:00","2014-01-08","1","8","1","2014"
"2014-01-08 09:00:00","2014-01-08","1","8","1","2014"
"2014-01-08 11:00:00","2014-01-08","1","8","1","2014"
"2014-01-08 12:00:00","2014-01-08","1","8","1","2014"
"2014-01-08 13:00:00","2014-01-08","1","8","1","2014"
"2014-01-09 05:00:00","2014-01-09","1","9","1","2014"
"2014-01-09 06:00:00","2014-01-09","1","9","1","2014"
"2014-01-09 07:00:00","2014-01-09","1","9","1","2014"
"2014-01-09 08:00:00","2014-01-09","1","9","1","2014"
"2014-01-09 09:00:00","2014-01-09","1","9","1","2014"
"2014-01-09 10:00:00","2014-01-09","1","9","1","2014"
"2014-01-09 11:00:00","2014-01-09","1","9","1","2014"
"2014-01-09 12:00:00","2014-01-09","1","9","1","2014"
"2014-01-09 13:00:00","2014-01-09","1","9","1","2014"
"2014-01-10 05:00:00","2014-01-10","1","10","1","2014"
"2014-01-10 06:00:00","2014-01-10","1","10","1","2014"
"2014-01-10 07:00:00","2014-01-10","1","10","1","2014"
"2014-01-10 08:00:00","2014-01-10","1","10","1","2014"
"2014-01-10 09:00:00","2014-01-10","1","10","1","2014"
"2014-01-10 10:00:00","2014-01-10","1","10","1","2014"
"2014-01-10 11:00:00","2014-01-10","1","10","1","2014"
"2014-01-10 12:00:00","2014-01-10","1","10","1","2014"
"2014-01-10 13:00:00","2014-01-10","1","10","1","2014"
"2014-01-11 05:00:00","2014-01-11","1","11","1","2014"
"2014-01-11 06:00:00","2014-01-11","1","11","1","2014"
"2014-01-11 07:00:00","2014-01-11","1","11","1","2014"
"2014-01-11 08:00:00","2014-01-11","1","11","1","2014"
"2014-01-11 09:00:00","2014-01-11","1","11","1","2014"
"2014-01-11 10:00:00","2014-01-11","1","11","1","2014"
"2014-01-11 11:00:00","2014-01-11","1","11","1","2014"
"2014-01-11 12:00:00","2014-01-11","1","11","1","2014"
"2014-01-11 13:00:00","2014-01-11","1","11","1","2014"
"2014-01-12 12:00:00","2014-01-12","1","12","1","2014"
"2014-01-13 05:00:00","2014-01-13","1","13","1","2014"
"2014-01-13 06:00:00","2014-01-13","1","13","1","2014"
"2014-01-13 07:00:00","2014-01-13","1","13","1","2014"
"2014-01-13 08:00:00","2014-01-13","1","13","1","2014"
"2014-01-13 09:00:00","2014-01-13","1","13","1","2014"
"2014-01-13 10:00:00","2014-01-13","1","13","1","2014"
"2014-01-13 11:00:00","2014-01-13","1","13","1","2014"
"2014-01-13 12:00:00","2014-01-13","1","13","1","2014"
"2014-01-13 13:00:00","2014-01-13","1","13","1","2014"
"2014-01-14 05:00:00","2014-01-14","1","14","1","2014"
"2014-01-14 06:00:00","2014-01-14","1","14","1","2014"
"2014-01-14 07:00:00","2014-01-14","1","14","1","2014"
"2014-01-14 08:00:00","2014-01-14","1","14","1","2014"
"2014-01-14 09:00:00","2014-01-14","1","14","1","2014"
"2014-01-14 10:00:00","2014-01-14","1","14","1","2014"
"2014-01-14 11:00:00","2014-01-14","1","14","1","2014"
"2014-01-14 12:00:00","2014-01-14","1","14","1","2014"
"2014-01-14 13:00:00","2014-01-14","1","14","1","2014"
"2014-01-15 05:00:00","2014-01-15","1","15","1","2014"
"2014-01-15 06:00:00","2014-01-15","1","15","1","2014"
"2014-01-15 07:00:00","2014-01-15","1","15","1","2014"
"2014-01-15 08:00:00","2014-01-15","1","15","1","2014"
"2014-01-15 09:00:00","2014-01-15","1","15","1","2014"
"2014-01-15 10:00:00","2014-01-15","1","15","1","2014"
"2014-01-15 11:00:00","2014-01-15","1","15","1","2014"
"2014-01-15 12:00:00","2014-01-15","1","15","1","2014"
"2014-01-15 13:00:00","2014-01-15","1","15","1","2014"
"2014-01-16 05:00:00","2014-01-16","1","16","1","2014"
"2014-01-16 06:00:00","2014-01-16","1","16","1","2014"
"2014-01-16 07:00:00","2014-01-16","1","16","1","2014"
"2014-01-16 08:00:00","2014-01-16","1","16","1","2014"
"2014-01-16 09:00:00","2014-01-16","1","16","1","2014"
"2014-01-16 10:00:00","2014-01-16","1","16","1","2014"
"2014-01-16 11:00:00","2014-01-16","1","16","1","2014"
"2014-01-16 12:00:00","2014-01-16","1","16","1","2014"
"2014-01-16 13:00:00","2014-01-16","1","16","1","2014"
"2014-01-17 07:00:00","2014-01-17","1","17","1","2014"
"2014-01-17 09:00:00","2014-01-17","1","17","1","2014"
"2014-01-17 10:00:00","2014-01-17","1","17","1","2014"
"2014-01-17 12:00:00","2014-01-17","1","17","1","2014"
"2014-01-18 05:00:00","2014-01-18","1","18","1","2014"
"2014-01-18 06:00:00","2014-01-18","1","18","1","2014"
"2014-01-18 07:00:00","2014-01-18","1","18","1","2014"
"2014-01-18 08:00:00","2014-01-18","1","18","1","2014"
"2014-01-18 09:00:00","2014-01-18","1","18","1","2014"
"2014-01-18 10:00:00","2014-01-18","1","18","1","2014"
"2014-01-18 11:00:00","2014-01-18","1","18","1","2014"
"2014-01-18 12:00:00","2014-01-18","1","18","1","2014"
"2014-01-18 13:00:00","2014-01-18","1","18","1","2014"
"2014-01-19 13:00:00","2014-01-19","1","19","1","2014"
"2014-01-20 05:00:00","2014-01-20","1","20","1","2014"
"2014-01-20 06:00:00","2014-01-20","1","20","1","2014"
"2014-01-20 08:00:00","2014-01-20","1","20","1","2014"
"2014-01-20 10:00:00","2014-01-20","1","20","1","2014"
"2014-01-20 11:00:00","2014-01-20","1","20","1","2014"
"2014-01-20 12:00:00","2014-01-20","1","20","1","2014"
"2014-01-20 13:00:00","2014-01-20","1","20","1","2014"
"2014-01-21 05:00:00","2014-01-21","1","21","1","2014"
"2014-01-21 07:00:00","2014-01-21","1","21","1","2014"
"2014-01-21 08:00:00","2014-01-21","1","21","1","2014"
"2014-01-21 09:00:00","2014-01-21","1","21","1","2014"
"2014-01-21 12:00:00","2014-01-21","1","21","1","2014"
"2014-01-22 05:00:00","2014-01-22","1","22","1","2014"
"2014-01-22 06:00:00","2014-01-22","1","22","1","2014"
"2014-01-22 07:00:00","2014-01-22","1","22","1","2014"
"2014-01-22 08:00:00","2014-01-22","1","22","1","2014"
"2014-01-22 09:00:00","2014-01-22","1","22","1","2014"
"2014-01-22 10:00:00","2014-01-22","1","22","1","2014"
"2014-01-22 11:00:00","2014-01-22","1","22","1","2014"
"2014-01-22 12:00:00","2014-01-22","1","22","1","2014"
"2014-01-22 13:00:00","2014-01-22","1","22","1","2014"
"2014-01-23 05:00:00","2014-01-23","1","23","1","2014"
"2014-01-23 06:00:00","2014-01-23","1","23","1","2014"
"2014-01-23 07:00:00","2014-01-23","1","23","1","2014"
"2014-01-23 08:00:00","2014-01-23","1","23","1","2014"
"2014-01-23 09:00:00","2014-01-23","1","23","1","2014"
"2014-01-23 10:00:00","2014-01-23","1","23","1","2014"
"2014-01-23 11:00:00","2014-01-23","1","23","1","2014"
"2014-01-23 12:00:00","2014-01-23","1","23","1","2014"
"2014-01-23 13:00:00","2014-01-23","1","23","1","2014"
"2014-01-24 05:00:00","2014-01-24","1","24","1","2014"
"2014-01-24 06:00:00","2014-01-24","1","24","1","2014"
"2014-01-24 07:00:00","2014-01-24","1","24","1","2014"
"2014-01-24 08:00:00","2014-01-24","1","24","1","2014"
"2014-01-24 09:00:00","2014-01-24","1","24","1","2014"
"2014-01-24 10:00:00","2014-01-24","1","24","1","2014"
"2014-01-24 11:00:00","2014-01-24","1","24","1","2014"
"2014-01-24 12:00:00","2014-01-24","1","24","1","2014"
"2014-01-24 13:00:00","2014-01-24","1","24","1","2014"
"2014-01-25 05:00:00","2014-01-25","1","25","1","2014"
"2014-01-25 06:00:00","2014-01-25","1","25","1","2014"
"2014-01-25 07:00:00","2014-01-25","1","25","1","2014"
"2014-01-25 08:00:00","2014-01-25","1","25","1","2014"
"2014-01-25 09:00:00","2014-01-25","1","25","1","2014"
"2014-01-25 10:00:00","2014-01-25","1","25","1","2014"
"2014-01-25 11:00:00","2014-01-25","1","25","1","2014"
"2014-01-25 12:00:00","2014-01-25","1","25","1","2014"
"2014-01-25 13:00:00","2014-01-25","1","25","1","2014"
"2014-01-26 06:00:00","2014-01-26","1","26","1","2014"
"2014-01-26 09:00:00","2014-01-26","1","26","1","2014"
"2014-01-26 11:00:00","2014-01-26","1","26","1","2014"
"2014-01-26 13:00:00","2014-01-26","1","26","1","2014"
"2014-01-29 07:00:00","2014-01-29","1","29","1","2014"
"2014-01-29 09:00:00","2014-01-29","1","29","1","2014"
"2014-02-01 05:00:00","2014-02-01","2","1","1","2014"
"2014-02-01 07:00:00","2014-02-01","2","1","1","2014"
"2014-02-01 08:00:00","2014-02-01","2","1","1","2014"
"2014-02-01 09:00:00","2014-02-01","2","1","1","2014"
"2014-02-01 10:00:00","2014-02-01","2","1","1","2014"
"2014-02-01 11:00:00","2014-02-01","2","1","1","2014"
"2014-02-01 12:00:00","2014-02-01","2","1","1","2014"
"2014-02-01 13:00:00","2014-02-01","2","1","1","2014"
"2014-02-02 05:00:00","2014-02-02","2","2","1","2014"
"2014-02-02 06:00:00","2014-02-02","2","2","1","2014"
"2014-02-02 07:00:00","2014-02-02","2","2","1","2014"
"2014-02-02 08:00:00","2014-02-02","2","2","1","2014"
"2014-02-02 09:00:00","2014-02-02","2","2","1","2014"
"2014-02-02 10:00:00","2014-02-02","2","2","1","2014"
"2014-02-02 11:00:00","2014-02-02","2","2","1","2014"
"2014-02-02 12:00:00","2014-02-02","2","2","1","2014"
"2014-02-02 13:00:00","2014-02-02","2","2","1","2014"
"2014-02-03 05:00:00","2014-02-03","2","3","1","2014"
"2014-02-03 06:00:00","2014-02-03","2","3","1","2014"
"2014-02-03 07:00:00","2014-02-03","2","3","1","2014"
"2014-02-03 08:00:00","2014-02-03","2","3","1","2014"
"2014-02-03 09:00:00","2014-02-03","2","3","1","2014"
"2014-02-03 10:00:00","2014-02-03","2","3","1","2014"
"2014-02-03 11:00:00","2014-02-03","2","3","1","2014"
"2014-02-03 12:00:00","2014-02-03","2","3","1","2014"
"2014-02-03 13:00:00","2014-02-03","2","3","1","2014"
"2014-02-04 06:00:00","2014-02-04","2","4","1","2014"
"2014-02-04 07:00:00","2014-02-04","2","4","1","2014"
"2014-02-04 08:00:00","2014-02-04","2","4","1","2014"
"2014-02-04 09:00:00","2014-02-04","2","4","1","2014"
"2014-02-04 10:00:00","2014-02-04","2","4","1","2014"
"2014-02-04 11:00:00","2014-02-04","2","4","1","2014"
"2014-02-04 12:00:00","2014-02-04","2","4","1","2014"
"2014-02-04 13:00:00","2014-02-04","2","4","1","2014"
"2014-02-05 05:00:00","2014-02-05","2","5","1","2014"
"2014-02-05 06:00:00","2014-02-05","2","5","1","2014"
"2014-02-05 07:00:00","2014-02-05","2","5","1","2014"
"2014-02-05 08:00:00","2014-02-05","2","5","1","2014"
"2014-02-05 09:00:00","2014-02-05","2","5","1","2014"
"2014-02-05 10:00:00","2014-02-05","2","5","1","2014"
"2014-02-05 11:00:00","2014-02-05","2","5","1","2014"
"2014-02-05 12:00:00","2014-02-05","2","5","1","2014"
"2014-02-06 05:00:00","2014-02-06","2","6","1","2014"
"2014-02-07 05:00:00","2014-02-07","2","7","1","2014"
"2014-02-07 06:00:00","2014-02-07","2","7","1","2014"
"2014-02-07 07:00:00","2014-02-07","2","7","1","2014"
"2014-02-07 08:00:00","2014-02-07","2","7","1","2014"
"2014-02-07 10:00:00","2014-02-07","2","7","1","2014"
"2014-02-07 11:00:00","2014-02-07","2","7","1","2014"
"2014-02-07 12:00:00","2014-02-07","2","7","1","2014"
"2014-02-07 13:00:00","2014-02-07","2","7","1","2014"
"2014-02-08 05:00:00","2014-02-08","2","8","1","2014"
"2014-02-08 06:00:00","2014-02-08","2","8","1","2014"
"2014-02-08 07:00:00","2014-02-08","2","8","1","2014"
"2014-02-08 08:00:00","2014-02-08","2","8","1","2014"
"2014-02-08 09:00:00","2014-02-08","2","8","1","2014"
"2014-02-08 10:00:00","2014-02-08","2","8","1","2014"
"2014-02-08 11:00:00","2014-02-08","2","8","1","2014"
"2014-02-08 12:00:00","2014-02-08","2","8","1","2014"
"2014-02-08 13:00:00","2014-02-08","2","8","1","2014"
"2014-02-09 05:00:00","2014-02-09","2","9","1","2014"
"2014-02-09 06:00:00","2014-02-09","2","9","1","2014"
"2014-02-09 07:00:00","2014-02-09","2","9","1","2014"
"2014-02-09 09:00:00","2014-02-09","2","9","1","2014"
"2014-02-09 10:00:00","2014-02-09","2","9","1","2014"
"2014-02-09 12:00:00","2014-02-09","2","9","1","2014"
"2014-02-10 05:00:00","2014-02-10","2","10","1","2014"
"2014-02-10 06:00:00","2014-02-10","2","10","1","2014"
"2014-02-10 07:00:00","2014-02-10","2","10","1","2014"
"2014-02-10 08:00:00","2014-02-10","2","10","1","2014"
"2014-02-10 09:00:00","2014-02-10","2","10","1","2014"
"2014-02-10 11:00:00","2014-02-10","2","10","1","2014"
"2014-02-10 12:00:00","2014-02-10","2","10","1","2014"
"2014-02-10 13:00:00","2014-02-10","2","10","1","2014"
"2014-02-11 05:00:00","2014-02-11","2","11","1","2014"
"2014-02-11 06:00:00","2014-02-11","2","11","1","2014"
"2014-02-11 07:00:00","2014-02-11","2","11","1","2014"
"2014-02-11 08:00:00","2014-02-11","2","11","1","2014"
"2014-02-11 09:00:00","2014-02-11","2","11","1","2014"
"2014-02-11 10:00:00","2014-02-11","2","11","1","2014"
"2014-02-11 11:00:00","2014-02-11","2","11","1","2014"
"2014-02-11 12:00:00","2014-02-11","2","11","1","2014"
"2014-02-11 13:00:00","2014-02-11","2","11","1","2014"
"2014-02-12 05:00:00","2014-02-12","2","12","1","2014"
"2014-02-12 06:00:00","2014-02-12","2","12","1","2014"
"2014-02-12 07:00:00","2014-02-12","2","12","1","2014"
"2014-02-12 08:00:00","2014-02-12","2","12","1","2014"
"2014-02-12 09:00:00","2014-02-12","2","12","1","2014"
"2014-02-12 10:00:00","2014-02-12","2","12","1","2014"
"2014-02-12 11:00:00","2014-02-12","2","12","1","2014"
"2014-02-12 12:00:00","2014-02-12","2","12","1","2014"
"2014-02-12 13:00:00","2014-02-12","2","12","1","2014"
"2014-02-13 05:00:00","2014-02-13","2","13","1","2014"
"2014-02-13 06:00:00","2014-02-13","2","13","1","2014"
"2014-02-13 07:00:00","2014-02-13","2","13","1","2014"
"2014-02-14 05:00:00","2014-02-14","2","14","1","2014"
"2014-02-14 07:00:00","2014-02-14","2","14","1","2014"
"2014-02-14 08:00:00","2014-02-14","2","14","1","2014"
"2014-02-14 09:00:00","2014-02-14","2","14","1","2014"
"2014-02-14 10:00:00","2014-02-14","2","14","1","2014"
"2014-02-14 11:00:00","2014-02-14","2","14","1","2014"
"2014-02-14 12:00:00","2014-02-14","2","14","1","2014"
"2014-02-14 13:00:00","2014-02-14","2","14","1","2014"
"2014-02-15 05:00:00","2014-02-15","2","15","1","2014"
"2014-02-15 06:00:00","2014-02-15","2","15","1","2014"
"2014-02-15 07:00:00","2014-02-15","2","15","1","2014"
"2014-02-15 08:00:00","2014-02-15","2","15","1","2014"
"2014-02-15 09:00:00","2014-02-15","2","15","1","2014"
"2014-02-15 11:00:00","2014-02-15","2","15","1","2014"
"2014-02-15 12:00:00","2014-02-15","2","15","1","2014"
"2014-02-15 13:00:00","2014-02-15","2","15","1","2014"
"2014-02-16 05:00:00","2014-02-16","2","16","1","2014"
"2014-02-16 06:00:00","2014-02-16","2","16","1","2014"
"2014-02-16 07:00:00","2014-02-16","2","16","1","2014"
"2014-02-16 08:00:00","2014-02-16","2","16","1","2014"
"2014-02-16 09:00:00","2014-02-16","2","16","1","2014"
"2014-02-16 10:00:00","2014-02-16","2","16","1","2014"
"2014-02-16 11:00:00","2014-02-16","2","16","1","2014"
"2014-02-16 13:00:00","2014-02-16","2","16","1","2014"
"2014-02-17 05:00:00","2014-02-17","2","17","1","2014"
"2014-02-17 06:00:00","2014-02-17","2","17","1","2014"
"2014-02-17 07:00:00","2014-02-17","2","17","1","2014"
"2014-02-17 08:00:00","2014-02-17","2","17","1","2014"
"2014-02-17 09:00:00","2014-02-17","2","17","1","2014"
"2014-02-17 10:00:00","2014-02-17","2","17","1","2014"
"2014-02-17 11:00:00","2014-02-17","2","17","1","2014"
"2014-02-17 12:00:00","2014-02-17","2","17","1","2014"
"2014-02-17 13:00:00","2014-02-17","2","17","1","2014"
"2014-02-18 05:00:00","2014-02-18","2","18","1","2014"
"2014-02-18 06:00:00","2014-02-18","2","18","1","2014"
"2014-02-18 07:00:00","2014-02-18","2","18","1","2014"
"2014-02-18 08:00:00","2014-02-18","2","18","1","2014"
"2014-02-18 09:00:00","2014-02-18","2","18","1","2014"
"2014-02-18 10:00:00","2014-02-18","2","18","1","2014"
"2014-02-18 11:00:00","2014-02-18","2","18","1","2014"
"2014-02-18 12:00:00","2014-02-18","2","18","1","2014"
"2014-02-18 13:00:00","2014-02-18","2","18","1","2014"
"2014-02-19 05:00:00","2014-02-19","2","19","1","2014"
"2014-02-19 06:00:00","2014-02-19","2","19","1","2014"
"2014-02-19 07:00:00","2014-02-19","2","19","1","2014"
"2014-02-19 08:00:00","2014-02-19","2","19","1","2014"
"2014-02-19 09:00:00","2014-02-19","2","19","1","2014"
"2014-02-19 10:00:00","2014-02-19","2","19","1","2014"
"2014-02-19 11:00:00","2014-02-19","2","19","1","2014"
"2014-02-19 12:00:00","2014-02-19","2","19","1","2014"
"2014-02-19 13:00:00","2014-02-19","2","19","1","2014"
"2014-02-20 05:00:00","2014-02-20","2","20","1","2014"
"2014-02-20 06:00:00","2014-02-20","2","20","1","2014"
"2014-02-20 07:00:00","2014-02-20","2","20","1","2014"
"2014-02-20 08:00:00","2014-02-20","2","20","1","2014"
"2014-02-20 09:00:00","2014-02-20","2","20","1","2014"
"2014-02-20 10:00:00","2014-02-20","2","20","1","2014"
"2014-02-20 11:00:00","2014-02-20","2","20","1","2014"
"2014-02-20 12:00:00","2014-02-20","2","20","1","2014"
"2014-02-20 13:00:00","2014-02-20","2","20","1","2014"
"2014-02-21 05:00:00","2014-02-21","2","21","1","2014"
"2014-02-21 07:00:00","2014-02-21","2","21","1","2014"
"2014-02-21 11:00:00","2014-02-21","2","21","1","2014"
"2014-02-21 12:00:00","2014-02-21","2","21","1","2014"
"2014-02-22 05:00:00","2014-02-22","2","22","1","2014"
"2014-02-22 06:00:00","2014-02-22","2","22","1","2014"
"2014-02-22 07:00:00","2014-02-22","2","22","1","2014"
"2014-02-22 08:00:00","2014-02-22","2","22","1","2014"
"2014-02-22 10:00:00","2014-02-22","2","22","1","2014"
"2014-02-22 11:00:00","2014-02-22","2","22","1","2014"
"2014-02-22 13:00:00","2014-02-22","2","22","1","2014"
"2014-02-23 05:00:00","2014-02-23","2","23","1","2014"
"2014-02-23 06:00:00","2014-02-23","2","23","1","2014"
"2014-02-23 07:00:00","2014-02-23","2","23","1","2014"
"2014-02-23 08:00:00","2014-02-23","2","23","1","2014"
"2014-02-23 09:00:00","2014-02-23","2","23","1","2014"
"2014-02-23 10:00:00","2014-02-23","2","23","1","2014"
"2014-02-23 11:00:00","2014-02-23","2","23","1","2014"
"2014-02-23 12:00:00","2014-02-23","2","23","1","2014"
"2014-02-23 13:00:00","2014-02-23","2","23","1","2014"
"2014-02-24 05:00:00","2014-02-24","2","24","1","2014"
"2014-02-24 06:00:00","2014-02-24","2","24","1","2014"
"2014-02-24 07:00:00","2014-02-24","2","24","1","2014"
"2014-02-24 08:00:00","2014-02-24","2","24","1","2014"
"2014-02-24 09:00:00","2014-02-24","2","24","1","2014"
"2014-02-24 10:00:00","2014-02-24","2","24","1","2014"
"2014-02-24 11:00:00","2014-02-24","2","24","1","2014"
"2014-02-24 12:00:00","2014-02-24","2","24","1","2014"
"2014-02-24 13:00:00","2014-02-24","2","24","1","2014"
"2014-02-25 09:00:00","2014-02-25","2","25","1","2014"
"2014-02-26 05:00:00","2014-02-26","2","26","1","2014"
"2014-02-26 06:00:00","2014-02-26","2","26","1","2014"
"2014-02-26 07:00:00","2014-02-26","2","26","1","2014"
"2014-02-26 08:00:00","2014-02-26","2","26","1","2014"
"2014-02-26 09:00:00","2014-02-26","2","26","1","2014"
"2014-02-26 10:00:00","2014-02-26","2","26","1","2014"
"2014-02-26 11:00:00","2014-02-26","2","26","1","2014"
"2014-02-26 12:00:00","2014-02-26","2","26","1","2014"
"2014-02-26 13:00:00","2014-02-26","2","26","1","2014"
"2014-02-27 10:00:00","2014-02-27","2","27","1","2014"
"2014-02-28 12:00:00","2014-02-28","2","28","1","2014"
"2014-03-01 05:00:00","2014-03-01","3","1","1","2014"
"2014-03-01 06:00:00","2014-03-01","3","1","1","2014"
"2014-03-01 07:00:00","2014-03-01","3","1","1","2014"
"2014-03-01 08:00:00","2014-03-01","3","1","1","2014"
"2014-03-01 09:00:00","2014-03-01","3","1","1","2014"
"2014-03-01 10:00:00","2014-03-01","3","1","1","2014"
"2014-03-01 11:00:00","2014-03-01","3","1","1","2014"
"2014-03-01 12:00:00","2014-03-01","3","1","1","2014"
"2014-03-01 13:00:00","2014-03-01","3","1","1","2014"
"2014-03-02 05:00:00","2014-03-02","3","2","1","2014"
"2014-03-02 06:00:00","2014-03-02","3","2","1","2014"
"2014-03-02 07:00:00","2014-03-02","3","2","1","2014"
"2014-03-02 08:00:00","2014-03-02","3","2","1","2014"
"2014-03-02 09:00:00","2014-03-02","3","2","1","2014"
"2014-03-02 10:00:00","2014-03-02","3","2","1","2014"
"2014-03-02 11:00:00","2014-03-02","3","2","1","2014"
"2014-03-02 13:00:00","2014-03-02","3","2","1","2014"
"2014-03-03 06:00:00","2014-03-03","3","3","1","2014"
"2014-03-03 07:00:00","2014-03-03","3","3","1","2014"
"2014-03-03 08:00:00","2014-03-03","3","3","1","2014"
"2014-03-03 09:00:00","2014-03-03","3","3","1","2014"
"2014-03-03 10:00:00","2014-03-03","3","3","1","2014"
"2014-03-03 11:00:00","2014-03-03","3","3","1","2014"
"2014-03-03 12:00:00","2014-03-03","3","3","1","2014"
"2014-03-03 13:00:00","2014-03-03","3","3","1","2014"
"2014-03-04 05:00:00","2014-03-04","3","4","1","2014"
"2014-03-04 06:00:00","2014-03-04","3","4","1","2014"
"2014-03-04 07:00:00","2014-03-04","3","4","1","2014"
"2014-03-04 08:00:00","2014-03-04","3","4","1","2014"
"2014-03-04 10:00:00","2014-03-04","3","4","1","2014"
"2014-03-04 11:00:00","2014-03-04","3","4","1","2014"
"2014-03-04 12:00:00","2014-03-04","3","4","1","2014"
"2014-03-04 13:00:00","2014-03-04","3","4","1","2014"
"2014-03-05 05:00:00","2014-03-05","3","5","1","2014"
"2014-03-05 06:00:00","2014-03-05","3","5","1","2014"
"2014-03-05 07:00:00","2014-03-05","3","5","1","2014"
"2014-03-05 08:00:00","2014-03-05","3","5","1","2014"
"2014-03-05 09:00:00","2014-03-05","3","5","1","2014"
"2014-03-05 10:00:00","2014-03-05","3","5","1","2014"
"2014-03-05 11:00:00","2014-03-05","3","5","1","2014"
"2014-03-05 12:00:00","2014-03-05","3","5","1","2014"
"2014-03-05 13:00:00","2014-03-05","3","5","1","2014"
"2014-03-06 05:00:00","2014-03-06","3","6","1","2014"
"2014-03-06 07:00:00","2014-03-06","3","6","1","2014"
"2014-03-06 08:00:00","2014-03-06","3","6","1","2014"
"2014-03-06 09:00:00","2014-03-06","3","6","1","2014"
"2014-03-06 10:00:00","2014-03-06","3","6","1","2014"
"2014-03-06 11:00:00","2014-03-06","3","6","1","2014"
"2014-03-06 12:00:00","2014-03-06","3","6","1","2014"
"2014-03-07 05:00:00","2014-03-07","3","7","1","2014"
"2014-03-07 06:00:00","2014-03-07","3","7","1","2014"
"2014-03-07 07:00:00","2014-03-07","3","7","1","2014"
"2014-03-07 08:00:00","2014-03-07","3","7","1","2014"
